pond,year,larv_density,med_prey,large_prey,vert_pred_dens,invert_pred,plankton,water_temp,salinity,dist_to_breed,chlorophyll,turbidity,emergent_veg,depth,suitable_598_split,suitable_598,log_larv_dens,log_med_prey,log_large_prey,vert_pred,log_invert_pred,log_plankton,log_water_temp,log_salinity,log_dist_to_breed,sqrt_chlorophyll,log_turbidity,sqr_emergent_veg,azolla
Merk,2024,0,14,0.508474576,0.889830509,0.042372881,1960,20,0.1,1594,172.1,24.18,5,152.4,693000,750600,-2.304490568,1.176091259,-0.240225488,1,-1.269206003,3.292477594,1.301029996,-0.698970004,3.202488317,13.11868896,1.401055726,2.236067977,1
Millsap 1,2021,0,0,0.086206897,0,0,42.85714286,13.2,0.1,72.98,301.2,13.94,95,70,744300,1125000,-2.304490568,0,-0.815667609,0,-1.942008069,1.642040335,1.120573931,-0.698970004,1.863203859,17.35511452,1.174350597,9.746794345,0
Millsap 1,2022,0,0,0.691489362,1.170212766,0.106382979,10,13,0.1,72.98,605.8,15.47,98,91,744300,1125000,-2.304490568,0,-0.120241407,1,-0.92881213,1.041392685,1.113943352,-0.698970004,1.863203859,24.61300469,1.216693599,9.899494937,0
Millsap 1,2023,0,11,0.090909091,0.272727273,0.181818182,166,13,0.1,72.98,325.9,16.25,90,106.7,744300,1125000,-2.304490568,1.079181246,-0.802510595,1,-0.713887795,2.222716471,1.113943352,-0.698970004,1.863203859,18.05270063,1.236789099,9.486832981,0
Millsap 2,2022,0.886287625,83,0.542857143,0.142857143,0,1753,20.8,0.4,72.98,190.5,89.94,10,71,688500,1113300,-0.05000146,1.924279286,-0.215009325,1,-1.942008069,3.244029589,1.318063335,-0.301029996,1.863203859,13.80217374,1.95875495,3.16227766,0
Millsap 2,2023,0.251396648,8,8.333333333,0.601851852,0.138888889,496,20,0.2,72.98,245.7,41.85,8,112,688500,1113300,-0.591154879,0.954242509,0.924279286,1,-0.822990571,2.696356389,1.301029996,-0.522878745,1.863203859,15.67482057,1.631950826,2.828427125,0
Millsap 2,2024,0,205.33333,11.55660377,0.141509434,0.377358491,2176.166667,18.5,0.2,72.98,152.6,29.35,15,94.488,688500,1113300,-2.304490568,2.314569387,1.065328343,1,-0.410288196,3.337891677,1.267171728,-0.522878745,1.863203859,12.35313725,1.482158695,3.872983346,1
North County Parks,2024,0.040268456,0,8.970588235,0.588235294,0.049019608,198.7142857,19,0.2,970.85,250.8,6.616,15,152.4,338400,338400,-1.344585194,0,0.956036532,1,-1.218616778,2.300409131,1.278753601,-0.522878745,2.987152135,15.83666632,0.881726935,3.872983346,0
North County Parks,2023,0.055305203,19.2,13.89423077,0,0.048076923,11596.8,17.7,0.2,970.85,308.1,21.41,35,152,338400,338400,-1.219931092,1.305351369,1.144913337,0,-1.225442935,4.064375615,1.247973266,-0.522878745,2.987152135,17.55277756,1.350441857,5.916079783,0
North Moro Cojo,2023,0,9,22.5862069,0.862068966,0.431034483,1944,22.5,2.2,1318,1147,3.913,85,91.44,441900,441900,-2.304490568,1,1.355123301,1,-0.354122987,3.288919606,1.352182518,0.361727836,3.11991541,33.86738844,0.691346764,9.219544457,1
North Moro Cojo,2024,0,0,12.00980392,0.441176471,0.049019608,945,19.8,1.9,1318,841.2,21.29,50,60.96,441900,441900,-2.304490568,0,1.081940028,1,-1.218616778,2.975891136,1.29666519,0.301029996,3.11991541,29.00344807,1.348110068,7.071067812,0
Oxbow,2021,0,0,0.714285714,0,0,19728.39506,14,0.2,125.7,201.9,3.748,80,65,732600,732600,-2.304490568,0,-0.107375447,0,-1.942008069,4.295113769,1.146128036,-0.522878745,2.099335278,14.20915198,0.67651071,8.94427191,0
Oxbow,2024,0.048746518,29.4,0.85,0.35,0,4.2,13.1,0.3,125.7,1497,7.332,95,121.92,732600,732600,-1.26997044,1.482873584,-0.037788561,1,-1.942008069,0.716003344,1.117271296,-0.397940009,2.099335278,38.69108424,0.920749261,9.746794345,0
Oxbow,2023,0.005955926,5.5,1.057692308,0.048076923,0,0,12.9,0.3,125.7,332,62.44,90,121,732600,732600,-1.961926805,0.812913357,0.050904991,1,-1.942008069,0,1.11058971,-0.397940009,2.099335278,18.22086716,1.802363174,9.486832981,0
Oxbow,2022,0,0,0.428571429,0,0,23500,12.5,0.3,125.7,325.2,0,90,90,732600,732600,-2.304490568,0,-0.305185955,0,-1.942008069,4.371086342,1.096910013,-0.397940009,2.099335278,18.03330253,0,9.486832981,0
Pond N,2021,0.422110553,0,4.617142857,0,1.714285714,8458.333333,15.8,0.4,120,406.2,3.75,15,42,675000,675000,-0.36950005,0,0.670599225,0,0.236968894,3.927336138,1.198657087,-0.301029996,2.079181246,20.15440399,0.67669361,3.872983346,0
Pond N,2024,0.033409898,48,4.210526316,0.833333333,0,663,14.7,0.2,120,1242,33.76,55,152.4,675000,675000,-1.416005767,1.69019608,0.631158846,1,-1.942008069,2.822168079,1.167317335,-0.522878745,2.079181246,35.24202037,1.541079768,7.416198487,0
Pond N,2023,0.888157895,0,5.87962963,0,0.277777778,54060,14.8,0.3,120,1248,50.61,35,137.2,675000,675000,-0.049091055,0,0.774246546,0,-0.538792177,4.732884075,1.170261715,-0.397940009,2.079181246,35.32704347,1.712733859,5.916079783,0
Pond N,2022,0.225733634,0,32.34285714,0,0.228571429,8778,14.4,0.3,120,425.1,25.45,30,76,675000,675000,-0.636963793,0,1.51067265,0,-0.619788758,3.943445049,1.158362492,-0.397940009,2.079181246,20.61795334,1.422425676,5.477225575,0
Pond O,2024,0.238636364,102,2.875,0.75,0,363,12.9,0.2,120,991.9,23.86,65,97.536,583200,588600,-0.613328633,2.012837225,0.468593459,1,-1.942008069,2.561101384,1.11058971,-0.522878745,2.079181246,31.49444395,1.395501124,8.062257748,0
Pond O,2023,0.316686967,0,1.939655172,0.086206897,0,28992,13.4,0.3,120,299.8,39.5,45,76.2,583200,588600,-0.492620111,0,0.302400601,1,-1.942008069,4.462293156,1.127104798,-0.397940009,2.079181246,17.31473361,1.607455023,6.708203932,0
Pond R,2021,0.444444444,0,1.028571429,0,1.104761905,7160.550459,21.3,0.3,133.4,547.1,7.317,10,45,650700,652500,-0.347362331,0,0.039508542,0,0.047738313,3.855007056,1.328379603,-0.397940009,2.12515583,23.39016887,0.919966702,3.16227766,0
Pond R,2024,0.102986612,28.644068,6.086956522,1.032608696,0,5.728813559,15.3,0.3,133.4,1978,19.32,40,121.92,650700,652500,-0.966789709,1.471937801,0.789130899,1,-1.942008069,0.827938495,1.184691431,-0.397940009,2.12515583,44.47471192,1.307923704,6.32455532,0
Pond R,2023,1.398305085,8.6666667,7.669491525,0.508474576,1.355932203,260,16.3,0.3,133.4,1953,15.54,20,121.9,650700,652500,0.147139818,0.985276745,0.888525342,1,0.135883117,2.416640507,1.212187604,-0.397940009,2.12515583,44.19275959,1.218535505,4.472135955,0
Pond R,2022,0,0,17.24696356,0,1.943319838,3880.5,17.6,0.3,133.4,397.4,45.95,15,100,650700,652500,-2.304490568,0,1.238388138,0,0.291090868,3.58899959,1.245512668,-0.397940009,2.12515583,19.93489403,1.671635597,3.872983346,0
Pond S,2021,0.717948718,0,5.914285714,0,0.6,22145.83333,26.2,0.4,133.4,287.8,17.72,30,32,579600,603900,-0.140916347,0,0.776770345,0,-0.213654271,4.345311637,1.418301291,-0.301029996,2.12515583,16.96466917,1.272305844,5.477225575,0
Pond S,2024,0.310650888,1,17.74193548,9.435483871,0,17,15.4,0.3,133.4,1271,24.14,60,104.14,579600,603900,-0.500847587,0.301029996,1.250629832,1,-1.942008069,1.255272505,1.187520721,-0.397940009,2.12515583,35.65108694,1.400365273,7.745966692,0
Pond S,2023,1.41509434,2.9411765,7.783018868,0.283018868,0.70754717,275,16.1,0.3,133.4,465.5,9.197,65,106.7,579600,603900,0.15230506,0.595625885,0.894852259,1,-0.143285763,2.440909082,1.206825876,-0.397940009,2.12515583,21.57544901,1.008472419,8.062257748,0
Pond S,2022,0,3,53.97142857,0,1.314285714,3888,18.7,0.3,133.4,282.4,8.32,25,76,579600,603900,-2.304490568,0.602059991,1.732700032,0,0.122449936,3.589837943,1.271841607,-0.397940009,2.12515583,16.80476123,0.969415912,5,0
Prospect,2023,0,94.5,51.2,0,1.885714286,5848.5,19,0,377.2,253.2,9.382,7,219,639900,882900,-2.304490568,1.980003372,1.709835081,0,0.278100035,3.767118745,1.278753601,-1,2.576571684,15.91225942,1.016281025,2.645751311,1
Prospect,2021,2.728571429,5,10.27142857,0.1,0.014285714,561,24.4,0.2,377.2,1481,31.44,15,40,639900,882900,0.436724122,0.77815125,1.014440529,1,-1.589825547,2.749736316,1.387389826,-0.522878745,2.576571684,38.48376281,1.511080846,3.872983346,0
Prospect,2022,3.028571429,0,42.38571429,0.028571429,0.257142857,3186,21.3,0.2,377.2,724.9,8.742,40,70,639900,882900,0.481948544,0,1.627902053,1,-0.570940192,3.503382063,1.328379603,-0.522878745,2.576571684,26.92396702,0.988648125,6.32455532,0
Prospect,2024,0.070082165,38.5,33.1557377,0,0.614754098,13366.5,19.2,0,377.2,283.1,8.121,30,158.496,639900,882900,-1.12469281,1.596597096,1.52143106,0,-0.203298957,4.126050193,1.283301229,-1,2.576571684,16.82557577,0.960042456,5.477225575,0
Racehorse,2024,0.062466051,31.818182,6.634615385,0.096153846,0.096153846,909.0909091,17.6,0,996,109.3,4.266,10,152.4,1108800,1111500,-1.171170233,1.516114519,0.826157898,1,-0.968258703,2.959084776,1.245512668,-1,2.998259338,10.45466403,0.721480855,3.16227766,1
Racehorse,2023,0.304,12,16.45,0.25,0.3,3624,21.6,0.1,996,253,1.174,10,152.4,1108800,1111500,-0.510097298,1.113943352,1.217922404,1,-0.506641547,3.559308011,1.334453751,-0.698970004,2.998259338,15.90597372,0.33725954,3.16227766,0
Seascape 1,2021,0.173267327,0,7.236842105,0,1.842105263,448.5714286,18.4,0,347,212.2,2.776,90,65,615600,734400,-0.749024934,0,0.863531555,0,0.268000518,2.652798703,1.264817823,-1,2.540329475,14.56708619,0.577031986,9.486832981,0
Seascape 1,2024,0,119.625,7.583333333,0,0.208333333,3048.375,13.6,0,347,191.4,38.01,55,116.84,615600,734400,-2.304490568,2.081437326,0.883661435,0,-0.658047591,3.484210835,1.133538908,-1,2.540329475,13.83473888,1.59117595,7.416198487,1
Seascape 1,2023,0.222419929,27,4.5,0,0.153846154,277.5,13.1,0,347,244.9,52.64,85,106,615600,734400,-0.643247268,1.447158031,0.659599313,0,-0.781793557,2.4448252,1.117271296,-1,2.540329475,15.64928113,1.729488769,9.219544457,1
Seascape 1,2022,0.050432277,40,2.75,0,0,2845,13.7,0,347,229.5,15,90,53,615600,734400,-1.256548297,1.612783857,0.449735454,0,-1.942008069,3.454234896,1.136720567,-1,2.540329475,15.14925741,1.204119983,9.486832981,0
Seascape 2,2021,0.033783784,26.315789,0.37037037,0,0.694444444,310.5263158,12.3,0,347,139.8,2.918,95,60,530100,662400,-1.411794412,1.436413749,-0.359481757,0,-0.151273421,2.493494739,1.089905111,-1,2.540329475,11.823705,0.593064432,9.746794345,0
Seascape 2,2024,0.08203125,54.75,2.95,0,0.5,1083,13.3,0,347,204.7,9.389,90,152.4,530100,662400,-1.060522846,1.746244872,0.479527325,0,-0.291215014,3.035029282,1.123851641,-1,2.540329475,14.30734077,1.016573746,9.486832981,1
Seascape 2,2023,0.348837209,65,0.9,0,0.2,290,13.3,0,347,176,8.763,99,90,530100,662400,-0.451245208,1.819543936,-0.014723257,0,-0.674836326,2.463892989,1.123851641,-1,2.540329475,13.26649916,0.989583289,9.949874371,0
Seascape 2,2022,0.065406977,16,4.467213115,0,0.12295082,337,12.4,0,347,176.9,5.06,95,106,530100,662400,-1.15262915,1.230448921,0.65647,0,-0.871667331,2.5289167,1.093421685,-1,2.540329475,13.30037593,0.782472624,9.746794345,0
Seascape 3,2021,0.853658537,2.7777778,4.0625,0,0.703125,19.44444444,12.9,0.1,385.4,165.5,17.11,80,75,455400,910800,-0.066199579,0.57723641,0.615862413,0,-0.145965206,1.310575313,1.11058971,-0.698970004,2.58591171,12.86468033,1.25791845,8.94427191,0
Seascape 3,2024,0.27,47.666667,16.06481481,0,0.231481482,316.3333333,14.3,0,385.4,182.7,10.11,35,137.16,455400,910800,-0.56072998,1.687231604,1.207674254,0,-0.614554511,2.501515694,1.155336037,-1,2.58591171,13.51665639,1.045714059,5.916079783,1
Seascape 3,2023,0.083732057,26,8.1,0,0,247,13.4,0,385.4,247.2,10.9,96,125,455400,910800,-1.05211372,1.431363764,0.91204483,0,-1.942008069,2.394451681,1.127104798,-1,2.58591171,15.72259521,1.075546961,9.797958971,0
Seascape 3,2022,0.246478873,40,0.840163934,0,0,260,12.7,0,385.4,300.6,8.312,80,100,455400,910800,-0.599567031,1.612783857,-0.042473833,0,-1.942008069,2.416640507,1.103803721,-1,2.58591171,17.33781993,0.969042967,8.94427191,0
Shadowmere,2023,0,20.833333,0,0.93373494,0.060240964,3279.166667,13.5,0,820.7,234.7,42.68,17,183,1081800,1081800,-2.304490568,1.339120039,-1.176091257,1,-1.144665413,3.515895911,1.130333768,-1,2.914184433,15.31992167,1.64028263,4.123105626,0
Shadowmere,2024,0,275.29412,0.066666667,0.633333333,0.033333333,1422.352941,15.1,0,820.7,236.9,55.61,20,152.4,1081800,1081800,-2.304490568,2.441371643,-0.875061261,1,-1.349091449,3.153312603,1.178976947,-1,2.914184433,15.39155613,1.752893155,4.472135955,0
South Moro Cojo,2021,0.032653061,0,31.42857143,0,0.171428571,523.9411765,25.6,0.9,970.85,948.9,12.52,60,39,732600,899100,-1.424657662,0,1.498244896,0,-0.737888072,2.72011064,1.408239965,0,2.987152135,30.80422049,1.130976692,7.745966692,0
South Moro Cojo,2024,0,24.933333,3.962264151,0.613207547,0.047169811,238,18.9,0.4,970.85,649.2,17.13,75,91.44,732600,899100,-2.304490568,1.413858337,0.60518981,1,-1.232114375,2.378397901,1.276461804,-0.301029996,2.987152135,25.47940345,1.258397804,8.660254038,1
South Moro Cojo,2023,0,192,2.85,0,0,3696,16.4,0.3,970.85,201.4,13.58,65,76.2,732600,899100,-2.304490568,2.285557309,0.464886798,0,-1.942008069,3.567849451,1.214843848,-0.397940009,2.987152135,14.19154678,1.163757524,8.062257748,1
South Moro Cojo,2022,0.004960317,21,6.428571429,0.414285714,0.114285714,669,21.9,0.7,970.85,407.8,9.25,80,30,732600,899100,-2.003460572,1.342422681,0.812595076,1,-0.90061537,2.826074803,1.340444115,-0.096910013,2.987152135,20.19405853,1.010723865,8.94427191,0
Suess,2023,0.406626506,54,2.136363636,0,0.090909091,9171,16.7,0,102.82,141.3,13.86,85,76.2,648900,1007100,-0.385538538,1.740362689,0.343020471,0,-0.989964509,3.962464046,1.222716471,-1,2.0120776,11.88696765,1.172018809,9.219544457,0
Suess,2022,0.15625,16,0.625,0,0,10056,10.9,0,102.82,213.4,12.75,40,15,648900,1007100,-0.792607168,1.230448921,-0.160103154,0,-1.942008069,4.00246845,1.037426498,-1,2.0120776,14.60821687,1.138302698,6.32455532,0
Swimming Pool,2022,0,48.888889,46.25,0,2.5,240,15.2,3.4,477.5,263.6,25.14,60,76,516600,602100,-2.304490568,1.698003833,1.665737296,0,0.399920831,2.382017043,1.181843588,0.544068044,2.678973376,16.23576299,1.417305583,7.745966692,0
Swimming Pool,2024,0,186.83333,21.95,0,1.45,509.8333333,19.1,1,477.5,324.1,2.093,80,91.44,516600,602100,-2.304490568,2.273772658,1.342751567,0,0.164777594,2.708279228,1.281033367,0.041392685,2.678973376,18.00277756,0.49037992,8.94427191,1
Tucker,2021,0,0,1.442857143,1.757142857,0.128571429,726.6666667,19,0,1872,178.2,3.712,20,90,1097100,1120500,-2.304490568,0,0.178839968,1,-0.853871964,2.861932481,1.278753601,-1,3.272305844,13.34915728,0.673205282,4.472135955,0
Tucker,2024,0,40,6.778846154,1.057692308,2.115384615,1905.454545,18.4,0,1872,110.1,1.141,15,146.304,1097100,1120500,-2.304490568,1.612783857,0.835405988,1,0.327729344,3.280226455,1.264817823,-1,3.272305844,10.49285471,0.330616667,3.872983346,0
Tucker,2022,0,26,0.6,5.314285714,1.428571429,906,15.3,0,1872,272.4,12.77,10,91,1097100,1120500,-2.304490568,1.431363764,-0.176091259,1,0.158362492,2.957607287,1.184691431,-1,3.272305844,16.50454483,1.13893394,3.16227766,1
Tucker,2023,0.132517839,0,1.886792453,0.235849057,1.698113208,402.5,16.6,0,1872,301.2,21.62,10,137.2,1097100,1120500,-0.861766302,0,0.290804327,1,0.232879719,2.605843539,1.220108088,-1,3.272305844,17.35511452,1.354492601,3.16227766,0
Upper Cattail,2021,0,1,58.17142857,0,0.114285714,7696,18.8,0.2,32.81,1013,32.17,0,45,396900,832500,-2.304490568,0.301029996,1.765207162,0,-0.90061537,3.886321487,1.274157849,-0.522878745,1.51600623,31.82766093,1.520745472,0,0
Upper Cattail,2022,0.071428571,0,41.14285714,0,0,12527.06897,19,0.2,32.81,935.9,53.97,3,143,396900,832500,-1.116969812,0,1.614997596,0,-1.942008069,4.097884136,1.278753601,-0.522878745,1.51600623,30.59248274,1.740125737,1.732050808,0
Upper Cattail,2024,0.05599711,180,9.545454545,0,0.136363636,936,13.9,0.2,32.81,293.7,4.997,50,152.4,396900,832500,-1.214973373,2.257678575,0.982819239,0,-0.830348465,2.971739591,1.1430148,-0.522878745,1.51600623,17.13767779,0.777934049,7.071067812,1
Upper Cattail,2023,0.071580064,24.545,3.55,0,0.1,4626.818,14.4,0.2,32.81,273.1,2.818,70,152.4,396900,832500,-1.11610938,1.407305907,0.558308484,0,-0.953003439,3.665376271,1.158362492,-0.522878745,1.51600623,16.5257375,0.581835924,8.366600265,0
Valencia,2024,0,452.66667,8.301886792,0,0.047169811,807.3333333,13.6,0,1068,301.2,2.211,60,152.4,37800,971100,-2.304490568,2.656736874,0.922650395,0,-1.232114375,2.907590488,1.133538908,-1,3.028571253,17.35511452,0.506640306,7.745966692,1
Valencia,2023,0.165447025,67.5,6.473282443,0,0.061068702,4002.75,13.3,0.1,1068,210.5,1.251,90,152.4,37800,971100,-0.768511698,1.835690571,0.815574369,0,-1.139678329,3.602466952,1.123851641,-0.698970004,3.028571253,14.50861813,0.352375495,9.486832981,0
Valencia,2021,0.762711864,31.531532,5.818181818,0,0,1126.126126,12.7,0,1068,314.1,2.15,50,40,37800,971100,-0.114824197,1.512304516,0.769735286,0,-1.942008069,3.051972517,1.103803721,-1,3.028571253,17.72286659,0.498310554,7.071067812,1
Valencia,2022,0,25.85,2.364130435,0,0,578.1,12.6,0,1068,474.6,7.684,80,76,37800,971100,-2.304490568,1.42894429,0.38574871,0,-1.942008069,2.762753565,1.100370545,-1,3.028571253,21.78531616,0.938719815,8.94427191,1
