pond,year,larv_density,large_prey,vert_pred_dens,invert_pred,water_temp,salinity,dist_to_breed,chlorophyll,turbidity,emergent_veg,depth,suitable_598_split,suitable_598,log_larv_dens,log_large_prey,vert_pred,log_invert_pred,log_water_temp,log_salinity,log_dist_to_breed,sqrt_chlorophyll,log_turbidity,sqr_emergent_veg,azolla
Pond R,2022,0,17.24696356,0,1.943319838,17.6,0.3,133.4,397.4,45.95,15,100,650700,652500,-2.304490568,1.238388138,0,0.291090868,1.245512668,-0.397940009,2.12515583,19.93489403,1.671635597,3.872983346,0
Pond S,2022,0,53.97142857,0,1.314285714,18.7,0.3,133.4,282.4,8.32,25,76,579600,603900,-2.304490568,1.732700032,0,0.122449936,1.271841607,-0.397940009,2.12515583,16.80476123,0.969415912,5,0
Prospect,2022,3.028571429,42.38571429,0.028571429,0.257142857,21.3,0.2,377.2,724.9,8.742,40,70,639900,882900,0.481948544,1.627902053,1,-0.570940192,1.328379603,-0.522878745,2.576571684,26.92396702,0.988648125,6.32455532,0
Seascape 1,2022,0.050432277,2.75,0,0,13.7,0,347,229.5,15,90,53,615600,734400,-1.256548297,0.449735454,0,-1.942008069,1.136720567,-1,2.540329475,15.14925741,1.204119983,9.486832981,0
Seascape 2,2022,0.065406977,4.467213115,0,0.12295082,12.4,0,347,176.9,5.06,95,106,530100,662400,-1.15262915,0.65647,0,-0.871667331,1.093421685,-1,2.540329475,13.30037593,0.782472624,9.746794345,0
Seascape 3,2022,0.246478873,0.840163934,0,0,12.7,0,385.4,300.6,8.312,80,100,455400,910800,-0.599567031,-0.042473833,0,-1.942008069,1.103803721,-1,2.58591171,17.33781993,0.969042967,8.94427191,0
South Moro Cojo,2022,0.004960317,6.428571429,0.414285714,0.114285714,21.9,0.7,970.85,407.8,9.25,80,30,732600,899100,-2.003460572,0.812595076,1,-0.90061537,1.340444115,-0.096910013,2.987152135,20.19405853,1.010723865,8.94427191,0
Suess,2022,0.15625,0.625,0,0,10.9,0,102.82,213.4,12.75,40,15,648900,1007100,-0.792607168,-0.160103154,0,-1.942008069,1.037426498,-1,2.0120776,14.60821687,1.138302698,6.32455532,0
Swimming Pool,2022,0,46.25,0,2.5,15.2,3.4,477.5,263.6,25.14,60,76,516600,602100,-2.304490568,1.665737296,0,0.399920831,1.181843588,0.544068044,2.678973376,16.23576299,1.417305583,7.745966692,0
Tucker,2022,0,0.6,5.314285714,1.428571429,15.3,0,1872,272.4,12.77,10,91,1097100,1120500,-2.304490568,-0.176091259,1,0.158362492,1.184691431,-1,3.272305844,16.50454483,1.13893394,3.16227766,1
Upper Cattail,2022,0.071428571,41.14285714,0,0,19,0.2,32.81,935.9,53.97,3,143,396900,832500,-1.116969812,1.614997596,0,-1.942008069,1.278753601,-0.522878745,1.51600623,30.59248274,1.740125737,1.732050808,0
Valencia,2022,0,2.364130435,0,0,12.6,0,1068,474.6,7.684,80,76,37800,971100,-2.304490568,0.38574871,0,-1.942008069,1.100370545,-1,3.028571253,21.78531616,0.938719815,8.94427191,1
Visitor Center,2022,0,43.11428571,0,0.114285714,18.7,0.2,374.9,153.4,1.753,3,30,692100,756000,-2.304490568,1.635292217,0,-0.90061537,1.271841607,-0.522878745,2.57391544,12.38547536,0.439806211,1.732050808,0
Willow Canyon,2022,3.866666667,5.352380952,0,0.380952381,19.2,0,695,227.5,5.527,40,62,734400,739800,0.587893508,0.733922967,0,-0.406292084,1.283301229,-1,2.841984805,15.08310313,0.814713613,6.32455532,0
Zmudowski,2022,0,6,3.542857143,0,16.1,0.5,6093.6,214.2,3.853,45,137,305100,305100,-2.304490568,0.782950133,1,-1.942008069,1.206825876,-0.22184875,3.784873943,14.6355731,0.686010291,6.708203932,0
Alexander,2023,0,19.21568627,0,0,15.1,0.1,640,207.4,2.035,12,228,827100,827100,-2.304490568,1.285160028,0,-1.942008069,1.178976947,-0.698970004,2.806179974,14.40138882,0.482158695,3.464101615,1
Buena Vista 1,2023,0,5.288461538,0,0.144230769,18.8,0,618.4,209.3,28.98,10,237.7,1070100,1070100,-2.304490568,0.728769873,0,-0.807824815,1.274157849,-1,2.791269481,14.46720429,1.476831629,3.16227766,0
Buena Vista 2,2023,0.069767442,9.553571429,0,0.089285714,19.9,0,618.4,115.2,4.747,20,173.7,827100,992700,-1.126518042,0.983185821,0,-0.996908926,1.298853076,-1,2.791269481,10.73312629,0.759441197,4.472135955,0
