pond,year,larv_density,med_prey,large_prey,vert_pred_dens,invert_pred,plankton,water_temp,DO,nitrates,pH,salinity,dist_to_breed,chlorophyll,turbidity,emergent_veg,conductivity,depth,suitable_598_split,suitable_598,log_larv_dens,log_med_prey,log_large_prey,vert_pred,log_invert_pred,log_plankton,log_water_temp,log_DO,log_nitrates,log_pH,log_salinity,log_dist_to_breed,sqrt_chlorophyll,log_turbidity,sqr_emergent_veg,azolla
Prospect,2023,0,94.5,51.2,0,1.885714286,5848.5,19,1.69,6.5,6.79,0,377.2,253.2,9.382,7,131,219,639900,882900,-2.304490568,1.980003372,1.709835081,0,0.278100035,3.767118745,1.278753601,0.240549248,0.812913357,0.831869774,-1,2.576571684,15.91225942,0.985471383,2.645751311,1
Visitor Center,2021,0,0,48.93333333,0,0.038095238,15,21.4,15,7.71,10.12,0.3,374.9,134.5,1.132,10,570,50,692100,756000,-2.304490568,0,1.69019608,0,-1.30518596,1.204119983,1.330413773,1.1775365,0.887054378,1.005180513,-0.397940009,2.57391544,11.5974135,0.152594078,3.16227766,0
Pond N,2021,0.422110553,0,4.617142857,0,1.714285714,8458.333333,15.8,0.77,7.99,7.11,0.4,120,406.2,3.75,15,664,42,675000,675000,-0.36950005,0,0.670599225,0,0.236968894,3.927336138,1.198657087,-0.086186148,0.902546779,0.851869601,-0.301029996,2.079181246,20.15440399,0.606273853,3.872983346,0
Seascape 2,2024,0.08203125,54.75,2.95,0,0.5,1083,13.3,2.22,8.41,6.08,0,347,204.7,9.389,90,155.9,152.4,530100,662400,-1.060522846,1.746244872,0.479527325,0,-0.291215014,3.035029282,1.123851641,0.356025857,0.924795996,0.783903579,-1,2.540329475,14.30734077,0.985785618,9.486832981,1
Pond R,2021,0.444444444,0,1.028571429,0,1.104761905,7160.550459,21.3,10.23,8.45,7.12,0.3,133.4,547.1,7.317,10,643,45,650700,652500,-0.347362331,0,0.039508542,0,0.047738313,3.855007056,1.328379603,1.011993115,0.926856709,0.852479994,-0.397940009,2.12515583,23.39016887,0.881156321,3.16227766,0
Racehorse,2024,0.062466051,31.818182,6.634615385,0.096153846,0.096153846,909.0909091,17.6,0.8,9.04,6.53,0,996,109.3,4.266,10,179.2,152.4,1108800,1111500,-1.171170233,1.516114519,0.826157898,1,-0.968258703,2.959084776,1.245512668,-0.070581074,0.956168431,0.814913181,-1,2.998259338,10.45466403,0.658488381,3.16227766,1
Seascape 3,2024,0.27,47.666667,16.06481481,0,0.231481482,316.3333333,14.3,2.24,9.36,6.39,0,385.4,182.7,10.11,35,200.2,137.16,455400,910800,-0.56072998,1.687231604,1.207674254,0,-0.614554511,2.501515694,1.155336037,0.359835482,0.971275849,0.805500858,-1,2.58591171,13.51665639,1.016991578,5.916079783,1
Prospect,2021,2.728571429,5,10.27142857,0.1,0.014285714,561,24.4,13.5,9.51,8.06,0.2,377.2,1481,31.44,15,466,40,639900,882900,0.436724122,0.77815125,1.014440529,1,-1.589825547,2.749736316,1.387389826,1.131939295,0.978180517,0.906335042,-0.522878745,2.576571684,38.48376281,1.501456385,3.872983346,0
Willow Canyon,2021,3.1,4,2.771428571,0,0,1128,16.8,6.41,10.02,7.39,0.1,695,450.7,65.08,25,172.8,60,734400,739800,0.492056054,0.698970004,0.453026965,0,-1.942008069,3.052693942,1.225309282,0.810232518,1.000867722,0.868644438,-0.698970004,2.841984805,21.22969618,1.815371841,5,0
Calabasas,2023,0.095070423,0,13.70940171,0,0.102564103,1752,16.3,6.97,10.05,6.58,0,102.82,103.8,3.577,85,114.6,82,883800,1260000,-0.999866518,0,1.13912529,0,-0.943123059,3.243781916,1.212187604,0.846337112,1.002166062,0.818225894,-1,2.0120776,10.1882285,0.58726185,9.219544457,1
Suess,2023,0.406626506,54,2.136363636,0,0.090909091,9171,16.7,0.74,10.08,6.93,0,102.82,141.3,13.86,85,148.4,76.2,648900,1007100,-0.385538538,1.740362689,0.343020471,0,-0.989964509,3.962464046,1.222716471,-0.102372909,1.003460532,0.840733235,-1,2.0120776,11.88696765,1.150725747,9.219544457,0
Pond S,2021,0.717948718,0,5.914285714,0,0.6,22145.83333,26.2,3.88,10.15,7.42,0.4,133.4,287.8,17.72,30,930,32,579600,603900,-0.140916347,0,0.776770345,0,-0.213654271,4.345311637,1.418301291,0.59439255,1.006466042,0.870403905,-0.301029996,2.12515583,16.96466917,1.255489598,5.477225575,0
South Moro Cojo,2021,0.032653061,0,31.42857143,0,0.171428571,523.9411765,25.6,7.6,10.56,7.12,0.9,970.85,948.9,12.52,60,2377,39,732600,899100,-1.424657662,0,1.498244896,0,-0.737888072,2.72011064,1.408239965,0.883661435,1.023663918,0.852479994,0,2.987152135,30.80422049,1.107515226,7.745966692,0
Millsap 1,2021,0,0,0.086206897,0,0,42.85714286,13.2,1.6,10.63,7.24,0.1,72.98,301.2,13.94,95,196.4,70,744300,1125000,-2.304490568,0,-0.815667609,0,-1.942008069,1.642040335,1.120573931,0.217483944,1.026533265,0.859738566,-0.698970004,1.863203859,17.35511452,1.153174379,9.746794345,0
Carneros 2,2024,0.084889643,4,27.5,6.203703704,0,60,17.5,7.93,10.92,7.2,0.4,43.77,953.8,5.232,45,689,111.76,580500,597600,-1.046482112,0.698970004,1.440384255,1,-1.942008069,1.785329835,1.243038049,0.902002891,1.038222638,0.857332496,-0.301029996,1.641176547,30.88365263,0.742017747,6.708203932,0
Zmudowski,2022,0,1,6,3.542857143,0,1684,16.1,1.78,11.59,7.27,0.5,6093.6,214.2,3.853,45,909,137,305100,305100,-2.304490568,0.301029996,0.782950133,1,-1.942008069,3.226599905,1.206825876,0.26245109,1.064083436,0.861534411,-0.22184875,3.784873943,14.6355731,0.617210095,6.708203932,0
Corralitos,2023,0,40,8.355091384,0.026109661,0.182767624,1485,14.7,0.43,11.71,6.82,0.1,1161,144.2,11.22,75,184.2,150,,,-2.304490568,1.612783857,0.92540276,1,-0.711759284,3.172018809,1.167317335,-0.318758763,1.068556895,0.833784375,-0.698970004,3.06483222,12.00833044,1.06103759,8.660254038,0
Seascape 1,2021,0.173267327,0,7.236842105,0,1.842105263,448.5714286,18.4,35,12.03,6.64,0,347,212.2,2.776,90,137.7,65,615600,734400,-0.749024934,0,0.863531555,0,0.268000518,2.652798703,1.264817823,1.544688022,1.080265627,0.822168079,-1,2.540329475,14.56708619,0.486430479,9.486832981,0
North County Parks,2024,0.040268456,0,8.970588235,0.588235294,0.049019608,198.7142857,19,2.2,12.12,6.99,0.2,970.85,250.8,6.616,15,356.1,152.4,338400,338400,-1.344585194,0,0.956036532,1,-1.218616778,2.300409131,1.278753601,0.352182518,1.08350262,0.844477176,-0.522878745,2.987152135,15.83666632,0.839163683,3.872983346,0
Seascape 2,2023,0.348837209,65,0.9,0,0.2,290,13.3,0.5,12.22,6.33,0,347,176,8.763,99,134.5,90,530100,662400,-0.451245208,1.819543936,-0.014723257,0,-0.674836326,2.463892989,1.123851641,-0.259637311,1.087071206,0.80140371,-1,2.540329475,13.26649916,0.956744545,9.949874371,0
McClusky Slough,2023,0,0,0.666666667,0.083333333,0.083333333,15729,18.5,6.72,12.26,7.74,0.2,4536,263.5,51.03,15,375.7,NA,495000,495000,-2.304490568,0,-0.134698574,1,-1.023366222,4.196728723,1.267171728,0.830588669,1.08849047,0.888740961,-0.522878745,3.656673046,16.23268308,1.710278185,3.872983346,0
Pond R,2024,0.102986612,28.644068,6.086956522,1.032608696,0,5.728813559,15.3,7.3,12.38,6.53,0.3,133.4,1978,19.32,40,621,121.92,650700,652500,-0.966789709,1.471937801,0.789130899,1,-1.942008069,0.827938495,1.184691431,0.866287339,1.092720645,0.814913181,-0.397940009,2.12515583,44.47471192,1.292455447,6.32455532,0
Hix,2022,0,24,18.57142857,0,0,7692,17.8,6.44,12.48,8.41,0.2,652,420.1,76.42,0,251,106,243900,797400,-2.304490568,1.397940009,1.270401527,0,-1.942008069,3.886095732,1.250420002,0.812244697,1.096214585,0.924795996,-0.522878745,2.814247596,20.49634114,1.884846321,0,0
Pond O,2024,0.238636364,102,2.875,0.75,0,363,12.9,5.65,12.6,7.01,0.2,120,991.9,23.86,65,545,97.536,583200,588600,-0.613328633,2.012837225,0.468593459,1,-1.942008069,2.561101384,1.11058971,0.755874856,1.100370545,0.845718018,-0.522878745,2.079181246,31.49444395,1.382899152,8.062257748,0
Central,2024,0,MISSING,25.91346154,0,0.096153846,MISSING,19.5,NA,12.9,6.78,0,566,2260,13.45,90,137.1,81.28,236700,310500,-2.304490568,NA,1.41464129,0,-0.968258703,NA,1.290034611,NA,1.11058971,0.831229694,-1,2.752816431,47.5394573,1.137955124,9.486832981,0
South Moro Cojo,2024,0,24.933333,3.962264151,0.613207547,0.047169811,238,18.9,NA,13.11,6.78,0.4,970.85,649.2,17.13,75,741,91.44,732600,899100,-2.304490568,1.413858337,0.60518981,1,-1.232114375,2.378397901,1.276461804,NA,1.117602692,0.831229694,-0.301029996,2.987152135,25.47940345,1.241023219,8.660254038,1
Seascape 1,2024,0,119.625,7.583333333,0,0.208333333,3048.375,13.6,0.9,13.15,6.02,0,347,191.4,38.01,55,120.9,116.84,615600,734400,-2.304490568,2.081437326,0.883661435,0,-0.658047591,3.484210835,1.133538908,-0.022276395,1.118925753,0.779596491,-1,2.540329475,13.83473888,1.583187435,7.416198487,1
Shadowmere,2023,0,20.833333,0,0.93373494,0.060240964,3279.166667,13.5,1.98,13.21,6.43,0,820.7,234.7,42.68,17,71.1,183,1081800,1081800,-2.304490568,1.339120039,-1.176091257,1,-1.144665413,3.515895911,1.130333768,0.307496038,1.120902818,0.808210973,-1,2.914184433,15.31992167,1.633155247,4.123105626,0
South Moro Cojo,2023,0,192,2.85,0,0,3696,16.4,2.3,13.83,7.21,0.3,970.85,201.4,13.58,65,461.7,76.2,732600,899100,-2.304490568,2.285557309,0.464886798,0,-1.942008069,3.567849451,1.214843848,0.371067862,1.14082218,0.857935265,-0.397940009,2.987152135,14.19154678,1.142045148,8.062257748,1
Seascape 3,2023,0.083732057,26,8.1,0,0,247,13.4,1.44,14.01,6.71,0,385.4,247.2,10.9,96,164.7,125,455400,910800,-1.05211372,1.431363764,0.91204483,0,-1.942008069,2.394451681,1.127104798,0.173186268,1.146438135,0.82672252,-1,2.58591171,15.72259521,1.048791274,9.797958971,0
Prospect,2022,3.028571429,0,42.38571429,0.028571429,0.257142857,3186,21.3,4.11,14.02,7.22,0.2,377.2,724.9,8.742,40,336,70,639900,882900,0.481948544,0,1.627902053,1,-0.570940192,3.503382063,1.328379603,0.619093331,1.146748014,0.858537198,-0.522878745,2.576571684,26.92396702,0.955735842,6.32455532,0
Oxbow,2021,0,0,0.714285714,0,0,19728.39506,14,0.34,14.21,7.68,0.2,125.7,201.9,3.748,80,387.8,65,732600,732600,-2.304490568,0,-0.107375447,0,-1.942008069,4.295113769,1.146128036,-0.408935393,1.152594078,0.88536122,-0.522878745,2.099335278,14.20915198,0.606058749,8.94427191,0
North County Parks,2023,0.055305203,19.2,13.89423077,0,0.048076923,11596.8,17.7,1.62,14.21,7.18,0.2,970.85,308.1,21.41,35,402.2,152,338400,338400,-1.219931092,1.305351369,1.144913337,0,-1.225442935,4.064375615,1.247973266,0.222716471,1.152594078,0.856124444,-0.522878745,2.987152135,17.55277756,1.33643972,5.916079783,0
Pond S,2024,0.310650888,1,17.74193548,9.435483871,0,17,15.4,7.07,14.32,6.93,0.3,133.4,1271,24.14,60,634,104.14,579600,603900,-0.500847587,0.301029996,1.250629832,1,-1.942008069,1.255272505,1.187520721,0.852479994,1.155943018,0.840733235,-0.397940009,2.12515583,35.65108694,1.38790569,7.745966692,0
Willow Canyon,2022,3.866666667,3,5.352380952,0,0.380952381,64,19.2,8.24,15.2,7.44,0,695,227.5,5.527,40,145.6,62,734400,739800,0.587893508,0.602059991,0.733922967,0,-0.406292084,1.812913357,1.283301229,0.918554531,1.181843588,0.871572936,-1,2.841984805,15.08310313,0.764624398,6.32455532,0
Carneros 2,2023,0.022970904,0,21.80555556,0,0.555555556,48020,15.9,1.28,15.44,7.1,0.3,43.77,320.8,4.433,70,585,114.3,580500,597600,-1.553910079,0,1.33989291,0,-0.246429099,4.6814312,1.201397124,0.123851641,1.188647296,0.851258349,-0.397940009,1.641176547,17.91089054,0.674125983,8.366600265,0
Racehorse,2023,0.304,12,16.45,0.25,0.3,3624,21.6,7.11,15.6,7.22,0.1,996,253,1.174,10,205.8,152.4,1108800,1111500,-0.510097298,1.113943352,1.217922404,1,-0.506641547,3.559308011,1.334453751,0.854913022,1.193124598,0.858537198,-0.698970004,2.998259338,15.90597372,0.165244326,3.16227766,0
Calabasas,2021,0.127272727,34.042553,145.2857143,0,0.342857143,242.5531915,27.8,7.86,15.67,7.06,0,102.82,1832,9.814,90,84,40,883800,1260000,-0.878660005,1.544595739,2.16242215,0,-0.45064636,2.386593825,1.444044796,0.898176484,1.195068996,0.848804701,-1,2.0120776,42.80186912,1.004450353,9.486832981,0
Zmudowski,2021,0,3,4.071428571,3.3,0.028571429,121,17.6,7.18,15.8,8.16,0.8,6093.6,0,6.118,50,1485,65,305100,305100,-2.304490568,0.602059991,0.616800482,1,-1.397940009,2.086359831,1.245512668,0.859138297,1.198657087,0.911690159,-0.045757491,3.784873943,0,0.806654724,7.071067812,0
Carneros 1,2023,0.133101852,0,11.82692308,0.192307692,0.432692308,66.66666667,15.7,3.15,15.88,7.37,0.4,58.77,162.4,8.194,98,609,152.4,544500,561600,-0.859925308,0,1.075312954,1,-0.352498809,1.830374783,1.195899652,0.505149978,1.200850498,0.867467488,-0.301029996,1.769155691,12.74362586,0.928549467,9.899494937,0
Ellicott,2023,0,19,12.26285714,0,0.011428571,1681.5,18,2.52,16.4,6.92,0.1,385,709.85,24.86,25,154.1,218,671400,840600,-2.304490568,1.301029996,1.090946304,0,-1.640978074,3.225955073,1.255272505,0.409933123,1.214843848,0.840106095,-0.698970004,2.58546073,26.64301034,1.400520721,5,1
Pond N,2024,0.033409898,48,4.210526316,0.833333333,0,663,14.7,4.88,16.6,6.62,0.2,120,1242,33.76,55,543,152.4,675000,675000,-1.416005767,1.69019608,0.631158846,1,-1.942008069,2.822168079,1.167317335,0.692846919,1.220108088,0.820857989,-0.522878745,2.079181246,35.24202037,1.532104361,7.416198487,0
Millsap 1,2022,0,0,0.691489362,1.170212766,0.106382979,10,13,1.44,16.8,6.42,0.1,72.98,605.8,15.47,98,193,91,744300,1125000,-2.304490568,0,-0.120241407,1,-0.92881213,1.041392685,1.113943352,0.173186268,1.225309282,0.807535028,-0.698970004,1.863203859,24.61300469,1.197528656,9.899494937,0
Willow Canyon,2023,2.083333333,7.14,4.537037037,0,0.138888889,2060.72,17.8,6.5,16.9,7.05,0,695,252.6,31.88,40,138.9,121.9,734400,739800,0.319791568,0.910624405,0.663107365,0,-0.822990571,3.314229684,1.250420002,0.8162413,1.227886705,0.848189117,-1,2.841984805,15.89339485,1.507437561,6.32455532,0
Upper Cattail,2022,0.071428571,0,41.14285714,0,0,12527.06897,19,1.87,17.84,7.5,0.2,32.81,935.9,53.97,3,359,143,396900,832500,-1.116969812,0,1.614997596,0,-1.942008069,4.097884136,1.278753601,0.283301229,1.25139485,0.875061263,-0.522878745,1.51600623,30.59248274,1.734471785,1.732050808,0
Millsap 1,2023,0,11,0.090909091,0.272727273,0.181818182,166,13,0.61,18,6.39,0.1,72.98,325.9,16.25,90,182.2,106.7,744300,1125000,-2.304490568,1.079181246,-0.802510595,1,-0.713887795,2.222716471,1.113943352,-0.180456065,1.255272505,0.805500858,-0.698970004,1.863203859,18.05270063,1.218509247,9.486832981,0
Buena Vista 1,2023,0,148.2,5.288461538,0,0.144230769,3188.2,18.8,4.8,18.04,6.85,0,618.4,209.3,28.98,10,123.2,237.7,1070100,1070100,-2.304490568,2.173768823,0.728769873,0,-0.807824815,3.503681755,1.274157849,0.685741739,1.256236533,0.835690572,-1,2.791269481,14.46720429,1.466407885,3.16227766,0
Oxbow,2024,0.048746518,29.4,0.85,0.35,0,4.2,13.1,4.65,18.05,6.87,0.3,125.7,1497,7.332,95,509,121.92,732600,732600,-1.26997044,1.482873584,-0.037788561,1,-1.942008069,0.716003344,1.117271296,0.672097858,1.256477206,0.836956737,-0.397940009,2.099335278,38.69108424,0.882011962,9.746794345,0
Valencia,2024,0,452.66667,8.301886792,0,0.047169811,807.3333333,13.6,5.15,18.25,6.07,0,1068,301.2,2.211,60,166.8,152.4,37800,971100,-2.304490568,2.656736874,0.922650395,0,-1.232114375,2.907590488,1.133538908,0.716003344,1.261262869,0.783188691,-1,3.028571253,17.35511452,0.397940009,7.745966692,1
Calabasas,2022,0.335820896,72.85,109.3283582,0,0.111940299,1931.7,13.6,1.52,18.32,6.49,0,102.82,367.8,4.379,90,72,27,883800,1260000,-0.467524356,1.8683505,2.038997571,0,-0.908794413,3.286164447,1.133538908,0.195899652,1.262925469,0.812244697,-1,2.0120776,19.17811252,0.669130847,9.486832981,0
Hix,2024,0,16,33.57142857,0,4.017857143,2104,16.7,10.27,18.89,7.06,0.2,652,414.3,2.845,5,405,152.4,243900,797400,-2.304490568,1.230448921,1.526831396,0,0.605228064,3.3232521,1.222716471,1.013679697,1.276231958,0.848804701,-0.522878745,2.814247596,20.35436071,0.496098992,2.236067977,1
Shadowmere,2024,0,275.29412,0.066666667,0.633333333,0.033333333,1422.352941,15.1,3.23,19.09,6.3,0,820.7,236.9,55.61,20,78,152.4,1081800,1081800,-2.304490568,2.441371643,-0.875061261,1,-1.349091449,3.153312603,1.178976947,0.515873844,1.280805928,0.79934055,-1,2.914184433,15.39155613,1.747404039,4.472135955,0
Pond N,2023,0.888157895,0,5.87962963,0,0.277777778,54060,14.8,0.75,19.1,7.03,0.3,120,1248,50.61,35,462,137.2,675000,675000,-0.049091055,0,0.774246546,0,-0.538792177,4.732884075,1.170261715,-0.096910013,1.281033367,0.846955325,-0.397940009,2.079181246,35.32704347,1.70670925,5.916079783,0
Pond O,2023,0.316686967,0,1.939655172,0.086206897,0,28992,13.4,1.25,19.31,7.5,0.3,120,299.8,39.5,45,479.1,76.2,583200,588600,-0.492620111,0,0.302400601,1,-1.942008069,4.462293156,1.127104798,0.113943352,1.285782274,0.875061263,-0.397940009,2.079181246,17.31473361,1.599763024,6.708203932,0
South Finger,2023,0,125,13.04545455,0,0.818181818,345,18.4,2.46,19.53,6.92,0.3,933.7,408.6,154.4,95,439.7,60.96,,,-2.304490568,2.100370545,1.117672955,0,-0.081125818,2.539076099,1.264817823,0.399673722,1.290702243,0.840106095,-0.397940009,2.970207359,20.21385663,2.189459432,9.746794345,0
Carneros 1,2024,0.164473684,2.6666667,12.31132075,4.009433962,0,170.6666667,14.7,13.96,20.2,6.98,0.4,58.77,185,6.402,90,680,137.16,544500,561600,-0.770999434,0.564271434,1.092650037,1,-1.942008069,2.234685974,1.167317335,1.146438135,1.305351369,0.843855423,-0.301029996,1.769155691,13.60147051,0.82549103,9.486832981,0
Central,2023,0,7.5,44.25,0,0.15,6337.5,18.5,6.82,20.21,7.12,0,566,3559,19.79,60,146.6,91.44,236700,310500,-2.304490568,0.929418926,1.646567087,0,-0.792019598,3.801986495,1.267171728,0.836956737,1.305566314,0.852479994,-1,2.752816431,59.65735495,1.30274208,7.745966692,0
Zmudowski,2023,0,66,3.676470588,0.539215686,0,1776.5,16.3,0.55,20.7,7.07,0.2,6093.6,255.1,10.35,35,365.1,152.4,305100,305100,-2.304490568,1.826074803,0.573235752,1,-1.942008069,3.249809609,1.212187604,-0.22184875,1.315970345,0.849419414,-0.522878745,3.784873943,15.97185024,1.026900809,5.916079783,1
Visitor Center,2024,0,MISSING,4.759615385,0,0.769230769,MISSING,21.9,NA,20.9,9.44,0.1,374.9,132.3,4.572,20,205.1,91.44,692100,756000,-2.304490568,NA,0.683612699,0,-0.10753844,NA,1.340444115,NA,1.320146286,0.974971994,-0.698970004,2.57391544,11.50217371,0.686725621,4.472135955,1
Millsap 2,2022,0.886287625,83,0.542857143,0.142857143,0,1753,20.8,5.59,20.94,8.14,0.4,72.98,190.5,89.94,10,727,71,688500,1113300,-0.05000146,1.924279286,-0.215009325,1,-1.942008069,3.244029589,1.318063335,0.751279104,1.320976677,0.910624405,-0.301029996,1.863203859,13.80217374,1.955346144,3.16227766,0
Pond S,2023,1.41509434,2.9411765,7.783018868,0.283018868,0.70754717,275,16.1,2.46,21.13,7.26,0.3,133.4,465.5,9.197,65,528,106.7,579600,603900,0.15230506,0.595625885,0.894852259,1,-0.143285763,2.440909082,1.206825876,0.399673722,1.324899497,0.860936621,-0.397940009,2.12515583,21.57544901,0.97708312,8.062257748,0
Pond R,2023,1.398305085,8.6666667,7.669491525,0.508474576,1.355932203,260,16.3,2.69,21.23,7.12,0.3,133.4,1953,15.54,20,482.2,121.9,650700,652500,0.147139818,0.985276745,0.888525342,1,0.135883117,2.416640507,1.212187604,0.437750563,1.326949994,0.852479994,-0.397940009,2.12515583,44.19275959,1.199453479,4.472135955,0
Visitor Center,2022,0,0,43.11428571,0,0.114285714,6,18.7,8.56,21.26,10,0.2,374.9,153.4,1.753,3,414.7,30,692100,756000,-2.304490568,0,1.635292217,0,-0.90061537,0.84509804,1.271841607,0.935003152,1.32756326,1,-0.522878745,2.57391544,12.38547536,0.310055738,1.732050808,0
Merk,2023,0,0,0.245098039,0,0.147058824,294.375,16.3,1.05,21.36,7.03,0,1594,204.9,34.42,20,167.2,137.2,693000,750600,-2.304490568,0,-0.506173052,0,-0.800005273,2.470373735,1.212187604,0.041392685,1.329601248,0.846955325,-1,3.202488317,14.31432849,1.540442101,4.472135955,0
Oxbow,2023,0.005955926,5.5,1.057692308,0.048076923,0,0,12.9,0.7,22.45,7.44,0.3,125.7,332,62.44,90,455.8,121,732600,732600,-1.961926805,0.812913357,0.050904991,1,-1.942008069,0,1.11058971,-0.124938737,1.351216345,0.871572936,-0.397940009,2.099335278,18.22086716,1.797468364,9.486832981,0
Willow Canyon,2024,0.139891697,17.333333,8.8,0,2,1287,19.6,4.9,23.71,6.88,0,695,160.3,15.41,25,163,131.064,734400,739800,-0.839075462,1.263241427,0.947760382,0,0.303504615,3.109915863,1.292256071,0.694605199,1.374931554,0.837588438,-1,2.841984805,12.66096363,1.195871989,5,1
Long Valley,2024,0.048283262,MISSING,17.5,0,0,MISSING,15.8,3.09,24.19,6.67,0.2,710,228.3,13.58,15,444,86.36,574200,643500,-1.273732759,NA,1.244689361,0,-1.942008069,NA,1.198657087,0.496929648,1.383635868,0.824125834,-0.522878745,2.851258349,15.1095996,1.142045148,3.872983346,1
Tucker,2022,0,26,0.6,5.314285714,1.428571429,906,15.3,4.44,25.73,6.7,0,1872,272.4,12.77,10,95.7,91,1097100,1120500,-2.304490568,1.431363764,-0.176091259,1,0.158362492,2.957607287,1.184691431,0.652246341,1.410439786,0.826074803,-1,3.272305844,16.50454483,1.115909922,3.16227766,1
Seascape 1,2023,0.222419929,27,4.5,0,0.153846154,277.5,13.1,0.37,26.22,6.03,0,347,244.9,52.64,85,123.8,106,615600,734400,-0.643247268,1.447158031,0.659599313,0,-0.781793557,2.4448252,1.117271296,-0.37675071,1.418632687,0.780317312,-1,2.540329475,15.64928113,1.723693689,9.219544457,1
Suess,2022,0.15625,16,0.625,0,0,10056,10.9,2.24,27.03,6.88,0,102.82,213.4,12.75,40,155.1,15,648900,1007100,-0.792607168,1.230448921,-0.160103154,0,-1.942008069,4.00246845,1.037426498,0.359835482,1.431846046,0.837588438,-1,2.0120776,14.60821687,1.115244285,6.32455532,0
Tucker,2023,0.132517839,0,1.886792453,0.235849057,1.698113208,402.5,16.6,7.99,27.18,6.91,0,1872,301.2,21.62,10,96,137.2,1097100,1120500,-0.861766302,0,0.290804327,1,0.232879719,2.605843539,1.220108088,0.905256049,1.434249452,0.839478047,-1,3.272305844,17.35511452,1.340622555,3.16227766,0
