pond,year,depth,suitable_598_split,suitable_598,vert_pred,log_larv_density,log_med_prey,log_large_prey,log_invert_pred,log_plankton,log_water_temp,log_DO,log_nitrates,log_pH,log_salinity,log_turbidity,log_conductivity,log_dist_to_breed,sqrt_chlorophyll,sqrt_emergent_veg,Azolla Presence/Absence
South Moro Cojo,2023,76.2,732600,899100,0,-2.304490568,2.285557309,0.464886798,-1.942008069,3.567849451,1.214843848,0.361727836,1.14082218,0.857935265,-0.397940009,1.163757524,2.664359875,3.093714321,14.19154678,8.062257748,0
Suess,2023,76.2,648900,1007100,0,-0.385538538,1.740362689,0.343020471,-0.989964509,3.962464046,1.222716471,-0.13076828,1.003460532,0.840733235,-1,1.172018809,2.171433901,2.319369172,11.88696765,9.219544457,0
Tucker,2023,137.2,1097100,1120500,1,-0.861766302,0,0.290804327,0.232879719,2.605843539,1.220108088,0.902546779,1.434249452,0.839478047,-1,1.354492601,1.982271233,3.276239205,17.35511452,3.16227766,0
Upper Cattail,2023,152.4,396900,832500,0,-1.11610938,1.407305907,0.558308484,-0.953003439,3.665376271,1.158362492,0.255272505,1.709269961,0.851869601,-0.522878745,0.581835924,2.40654018,2.098299551,16.5257375,8.366600265,0
Valencia,2023,152.4,37800,971100,0,-0.768511698,1.835690571,0.815574369,-1.139678329,3.602466952,1.123851641,0.365487985,1.555094449,0.844477176,-0.698970004,0.352375495,2.242044239,3.076084752,14.50861813,9.486832981,1
Visitor Center,2023,91.44,692100,756000,0,-2.304490568,0,1.281835142,-1.218616778,2.389166084,1.250420002,0.972665592,1.998259338,0.896526218,-0.698970004,0.650210355,2.304490528,2.637758373,12.52597302,2.828427125,0
Willow Canyon,2023,121.9,734400,739800,0,0.319791568,0.910624405,0.663107365,-0.822990571,3.314229684,1.250420002,0.812913357,1.227886705,0.848189117,-1,1.516931809,2.142702246,2.860886011,15.89339485,6.32455532,0
Zmudowski,2023,152.4,305100,305100,1,-2.304490568,1.826074803,0.573235752,-1.942008069,3.249809609,1.212187604,-0.259637311,1.315970345,0.849419414,-0.522878745,1.054995862,2.562411833,3.790994248,15.97185024,5.916079783,0
Buena Vista 1,2024,134.112,1070100,1070100,0,-0.976398257,1.994659253,0.384739901,-0.172756167,2.830125117,1.340444115,-0.180456065,1.728516105,0.79934055,-1,0.787814567,2.013258665,2.707041061,8.868483523,3.872983346,0
Buena Vista 2,2024,184.404,827100,992700,0,0.098629993,0.503450193,1.29956696,-0.553951279,2.608191626,1.350248018,0.748188027,1.545554507,0.888179494,-1,0.556181847,2.156549151,2.707041061,7.756932383,2.236067977,0
Calabasas,2024,88.392,883800,1260000,0,-1.129055506,0,1.293008219,-1.942008069,3.061829307,1.187520721,0.697229343,2.093316601,0.810904281,-1,0.872389388,2.148602655,2.319369172,27.48454111,3.872983346,0
Carneros 1,2024,137.16,544500,561600,1,-0.770999434,0.564271434,1.092650037,-1.942008069,2.234685974,1.167317335,1.144885418,1.305351369,0.843855423,-0.301029996,0.869349081,2.832508913,1.764624398,13.60147051,9.486832981,0
Carneros 2,2024,111.76,580500,597600,1,-1.046482112,0.698970004,1.440384255,-1.942008069,1.785329835,1.243038049,0.899273187,1.038222638,0.857332496,-0.301029996,0.794627445,2.838219222,1.621072371,30.88365263,6.708203932,0
Delaney,2024,121.92,974700,1012500,0,-1.837469616,1.716003344,0.369103361,-0.376213881,3.946403134,1.133538908,-0.15490196,2.445012288,0.767155866,-1,1.349860082,2.01494035,2.590041302,26.30589288,5.916079783,0
