pond,year,larv_density,large_prey,vert_pred,invert_pred,water_temp,salinity,chlorophyll,turbidity,emergent_veg,depth,dist_to_breed,suitable_598_split,suitable_598,Azolla Presence/Absence,log_larv_dens,log_large_prey,log_invert_pred,log_water_temp,log_salinity,log_chlorophyll,log_turbidity,log_emergent_veg,log_depth,log_dist_to_breed,log_suitable_598_split,log_suitable_598,sqrt_larv_density,sqrt_large_prey,sqrt_invert_pred,sqrt_water_temp,sqrt_salinity,sqrt_chlorophyll,sqrt_turbidity,sqrt_emergent_veg,sqrt_depth,sqrt_dist_to_breed,sqrt_suitable_598_split,sqrt_suitable_598
Seascape 2,2023,0.348837209,0.9,0,0.2,13.3,0,176,8.763,99,90,386.0542259,530100,662400,0,-0.451245208,-0.014723257,-0.674836326,1.123851641,-1,2.247973266,0.989583289,2,1.954242509,2.586648311,5.724357804,5.821120324,0.590624423,0.948683298,0.447213596,3.646916506,0,13.26649916,2.960236477,9.949874371,9.486832981,19.64826267,728.079666,813.879598
McClusky Slough,2022,0,0,1,0,19.2,0.5,431.1,23.27,10,91,5491.564664,495000,495000,0,-2.304490568,-1.176091257,-1.942008069,1.283301229,-0.22184875,2.635584266,1.385069776,1.041392685,1.959041392,3.739696102,5.694605199,5.694605199,0,0,0,4.38178046,0.707106781,20.76294777,4.823898838,3.16227766,9.539392014,74.10509202,703.562364,703.562364
Millsap 1,2022,0,0.691489362,1,0.106382979,13,0.1,605.8,15.47,98,91,82.14877817,744300,1125000,0,-2.304490568,-0.120241407,-0.92881213,1.113943352,-0.698970004,2.783045572,1.216693599,1.995635195,1.959041392,1.914601108,5.871748019,6.051152522,0,0.831558394,0.326164037,3.605551275,0.316227766,24.61300469,3.933192088,9.899494937,9.539392014,9.063596315,862.7282307,1060.660172
Tucker,2022,0,0.6,1,1.428571429,15.3,0,272.4,12.77,10,91,1889.03152,1097100,1120500,1,-2.304490568,-0.176091259,0.158362492,1.184691431,-1,2.43679851,1.13893394,1.041392685,1.959041392,3.276239205,6.040246215,6.049411861,0,0.774596669,1.19522861,3.911521443,0,16.50454483,3.573513677,3.16227766,9.539392014,43.46299023,1047.425415,1058.536726
Central,2023,0,44.25,0,0.15,18.5,0,3559,19.79,60,91.44,674.1725765,236700,310500,0,-2.304490568,1.646567087,-0.792019598,1.267171728,-1,3.551449998,1.317854489,1.785329835,1.961136217,2.828771083,5.374198258,5.492061605,0,6.652067348,0.387298335,4.301162634,0,59.65735495,4.448595284,7.745966692,9.56242647,25.96483346,486.5182422,557.2252686
North Moro Cojo,2023,0,22.5862069,1,0.431034483,22.5,2.2,1147,3.913,85,91.44,1542.156052,441900,441900,1,-2.304490568,1.355123301,-0.354122987,1.352182518,0.361727836,3.059941888,0.691346764,1.934498451,1.961136217,3.188128323,5.645324002,5.645324002,0,4.752494808,0.656532165,4.74341649,1.483239697,33.86738844,1.97813043,9.219544457,9.56242647,39.27029478,664.7555942,664.7555942
Visitor Center,2023,0,19.06862745,0,0.049019608,17.8,0.1,156.9,3.469,8,91.44,434.2685445,692100,756000,0,-2.304490568,1.281835142,-1.218616778,1.250420002,-0.698970004,2.19838213,0.650210355,0.954242509,1.961136217,2.637758373,5.840168849,5.878521796,0,4.366763956,0.221403722,4.219004622,0.316227766,12.52597302,1.862525168,2.828427125,9.56242647,20.83911093,831.9254774,869.4826048
South Moro Cojo,2024,0,3.962264151,1,0.047169811,18.9,0.4,649.2,17.13,75,91.44,1240.835816,732600,899100,1,-2.304490568,0.60518981,-1.232114375,1.276461804,-0.301029996,2.813046965,1.258397804,1.880813592,1.961136217,3.093714321,5.864866914,5.953807998,0,1.990543682,0.217186121,4.347413024,0.632455532,25.47940345,4.138840417,8.660254038,9.56242647,35.22549951,855.9205571,948.2088378
Swimming Pool,2024,0,21.95,0,1.45,19.1,1,324.1,2.093,80,91.44,532.4821468,516600,602100,1,-2.304490568,1.342751567,0.164777594,1.281033367,0.041392685,2.512016969,0.49037992,1.908485019,1.961136217,2.726305051,5.713154402,5.779668627,0,4.68508271,1.204159458,4.370354677,1,18.00277756,1.446720429,8.94427191,9.56242647,23.07557468,718.748913,775.9510294
Visitor Center,2024,0,4.759615385,0,0.769230769,21.9,0.1,132.3,4.572,20,91.44,434.2685445,692100,756000,1,-2.304490568,0.683612699,-0.10753844,1.340444115,-0.698970004,2.124830149,0.746011108,1.322219295,1.961136217,2.637758373,5.840168849,5.878521796,0,2.181654277,0.877058019,4.679743583,0.316227766,11.50217371,2.138223562,4.472135955,9.56242647,20.83911093,831.9254774,869.4826048
Millsap 2,2024,0,11.55660377,1,0.377358491,18.5,0.2,152.6,29.35,15,94.488,82.14877817,688500,1113300,1,-2.304490568,1.065328343,-0.410288196,1.267171728,-0.522878745,2.186391216,1.482158695,1.204119983,1.975376657,1.914601108,5.837903945,6.046612209,0,3.399500518,0.614295117,4.301162634,0.447213596,12.35313725,5.417564028,3.872983346,9.720493815,9.063596315,829.7590012,1055.130324
Pond O,2024,0.238636364,2.875,1,0,12.9,0.2,991.9,23.86,65,97.536,122.3977912,583200,588600,0,-0.613328633,0.468593459,-1.942008069,1.11058971,-0.522878745,2.996905511,1.395501124,1.819543936,1.989164941,2.087773581,5.765817515,5.769820258,0.488504211,1.695582496,0,3.591656999,0.447213596,31.49444395,4.884669897,8.062257748,9.876031592,11.06335352,763.6753237,767.2027112
Pond R,2022,0,17.24696356,0,1.943319838,17.6,0.3,397.4,45.95,15,100,137.1070221,650700,652500,0,-2.304490568,1.238388138,0.291090868,1.245512668,-0.397940009,2.60031933,1.671635597,1.204119983,2,2.137059698,5.813380807,5.814580516,0,4.152946371,1.394030071,4.195235393,0.547722558,19.93489403,6.778642932,3.872983346,10,11.70927078,806.6597796,807.7747211
Seascape 3,2022,0.246478873,0.840163934,0,0,12.7,0,300.6,8.312,80,100,400.47,455400,910800,0,-0.599567031,-0.042473833,-1.942008069,1.103803721,-1,2.479431337,0.969042967,1.908485019,2,2.602569988,5.658393026,5.959423022,0.496466387,0.916604568,0,3.563705936,0,17.33781993,2.883053936,8.94427191,10,20.01174655,674.8333128,954.3584232
Pond S,2024,0.310650888,17.74193548,1,0,15.4,0.3,1271,24.14,60,104.14,137.1070221,579600,603900,0,-0.500847587,1.250629832,-1.942008069,1.187520721,-0.397940009,3.104487111,1.400365273,1.785329835,2.017617573,2.137059698,5.763128377,5.78096503,0.557360645,4.212117695,0,3.924283374,0.547722558,35.65108694,4.913247399,7.745966692,10.20490078,11.70927078,761.3146524,777.1100308
Hix,2022,0,18.57142857,0,0,17.8,0.2,420.1,76.42,0,106,654.0173365,243900,797400,0,-2.304490568,1.270401527,-1.942008069,1.250420002,-0.522878745,2.624385241,1.888853167,0,2.025305865,2.815589261,5.3872118,5.901676231,0,4.309458037,0,4.219004622,0.447213596,20.49634114,8.74185335,0,10.29563014,25.57376266,493.862329,892.972564
Seascape 2,2022,0.065406977,4.467213115,0,0.12295082,12.4,0,176.9,5.06,95,106,386.0542259,530100,662400,0,-1.15262915,0.65647,-0.871667331,1.093421685,-1,2.250175948,0.782472624,1.982271233,2.025305865,2.586648311,5.724357804,5.821120324,0.255747878,2.113578273,0.350643437,3.521363372,0,13.30037593,2.249444376,9.746794345,10.29563014,19.64826267,728.079666,813.879598
Seascape 1,2023,0.222419929,4.5,0,0.153846154,13.1,0,244.9,52.64,85,106,386.0542259,615600,734400,1,-0.643247268,0.659599313,-0.781793557,1.117271296,-1,2.390758529,1.729488769,1.934498451,2.025305865,2.586648311,5.789298611,5.865932668,0.471614174,2.121320344,0.392232271,3.619392214,0,15.64928113,7.255342859,9.219544457,10.29563014,19.64826267,784.6018098,856.9714114
Millsap 1,2023,0,0.090909091,1,0.181818182,13,0.1,325.9,16.25,90,106.7,82.14877817,744300,1125000,0,-2.304490568,-0.802510595,-0.713887795,1.113943352,-0.698970004,2.514414921,1.236789099,1.959041392,2.028164419,1.914601108,5.871748019,6.051152522,0,0.301511345,0.426401433,3.605551275,0.316227766,18.05270063,4.031128874,9.486832981,10.32956921,9.063596315,862.7282307,1060.660172
